COMM_NAME,ASSESSED_VALUE,LATITUDE,LONGITUDE
ROXBORO,1414505.917,51.02703256,-114.0685529
MACEWAN,434849.5935,51.13698104,-114.114571
FOREST HEIGHTS,306552.5869,51.04912002,-113.9704461
BOWNESS,505642.636,51.0885207,-114.1951342
SPRUCE CLIFF,312401.7617,51.0458428,-114.1346054
COUNTRY HILLS VILLAGE,256946.7538,51.15965544,-114.0566696
AURORA BUSINESS PARK,7343821.739,51.13878729,-114.0548275
OAKRIDGE,520280.0173,50.96834526,-114.1287074
BAYVIEW,1327036.26,50.97408994,-114.112161
LINCOLN PARK,660919.3864,51.00923978,-114.1333901
COACH HILL,436090.9369,51.05811423,-114.1822934
WOODLANDS,501027.0314,50.94073833,-114.1108812
RESIDUAL WARD 13 - SUB AREA 13H,1142333.333,50.89056117,-114.1143161
HIGHWOOD,533321.4702,51.09215253,-114.0793857
WHITEHORN,348451.7037,51.08898073,-113.9699608
RUNDLE,370224.5228,51.07483132,-113.9706079
WEST HILLHURST,767691.9187,51.05516344,-114.1131309
COPPERFIELD,318034.0924,50.917322,-113.9288545
RESIDUAL WARD 10 - SUB AREA 10E,2244716.154,51.08164375,-113.915974
ERLTON,365452.9813,51.03093902,-114.0619965
SHAWNEE SLOPES,450579.0869,50.92376364,-114.0823398
GLENDALE,665216.4694,51.03427824,-114.1507281
COUGAR RIDGE,578444.9341,51.07035605,-114.2091106
RESIDUAL WARD 3 - SUB AREA 3H,981000,51.18018553,-113.9642709
ROSSCARROCK,741445.328,51.04246968,-114.1465633
BRAESIDE,374038.2663,50.95617471,-114.1075161
RESIDUAL WARD 12 - SUB AREA 12H,55000,50.87268016,-113.9175361
RESIDUAL WARD 13 - SUB AERA 13J,13550,50.87170426,-114.0902267
RED CARPET/MOUNTVIEW MOBILE PARK,143631.9887,51.03860574,-113.9458214
CLIFF BUNGALOW,692628.9641,51.03503971,-114.0734024
NORTH AIRWAYS,2716493.476,51.08743517,-114.0091806
GLENDEER BUSINESS PARK,4745857.143,50.98868549,-114.0316517
SOUTH AIRWAYS,2394149.025,51.07679487,-114.013281
RESIDUAL WARD 9 - SUB AREA 9D,12337522.01,51.01170312,-114.0087248
GARRISON WOODS,469854.7751,51.01911302,-114.1135971
TUSCANY,504092.9682,51.12495749,-114.2450638
DIAMOND COVE,583046.595,50.94471149,-114.0210983
RESIDUAL WARD 13 - SUB AREA 13A,583713.3333,50.91525014,-114.1980928
RESIDUAL WARD 5 - SUB AREA 5C,616000,51.09277339,-113.9150155
CHINOOK PARK,727878.2528,50.98278599,-114.0886112
THORNCLIFFE,458691.5385,51.10465847,-114.0671518
CARRINGTON,625343.4132,51.18129448,-114.0808919
PEGASUS INDUSTRIAL,1203755.814,51.09511734,-114.0066048
LEGACY,367379.2459,50.85966753,-114.0169587
VALLEYFIELD,4179683.151,51.01000173,-114.001143
GOLDEN TRIANGLE,1385359.857,51.01159265,-113.9866818
HORIZON,3181952.899,51.08590922,-113.9921615
RESIDUAL WARD 1 - SUB AREA 1H,673637.2,51.09180135,-114.280372
SOUTHVIEW,484168.6795,51.03377399,-113.9879783
FAIRVIEW,500719.7978,50.98479896,-114.0596537
RESIDUAL WARD 2 - SUB AREA 2C,3315437.5,51.17556343,-114.1833827
SILVER SPRINGS,482901.2,51.10886122,-114.1960979
VISTA HEIGHTS,504269.7481,51.07172923,-114.0153771
ROSEMONT,736352.8761,51.07815221,-114.0906665
STRATHCONA PARK,642447.0828,51.04804843,-114.1815619
RESIDUAL WARD 10 - SUB AREA 10C,299030.3846,51.03486568,-113.9065698
RESIDUAL WARD 2 - SUB AREA 2F,3490625,51.15531572,-114.1723571
QUEENSLAND,360028.6486,50.93668295,-114.0226786
PARKDALE,703726.113,51.0590648,-114.1355792
RESIDUAL WARD 12 - SUB AREA 12F,2717210,50.87365328,-113.9376024
HAWKWOOD,483865.6763,51.13099489,-114.1760368
WINDSOR PARK,478264.6415,51.00398842,-114.0770547
PANORAMA HILLS,428804.2138,51.16202913,-114.0841285
PATTERSON,476008.0974,51.06170236,-114.1756798
MARLBOROUGH,425361.8647,51.05992855,-113.9690158
HIDDEN VALLEY,454273.1454,51.15045235,-114.1121645
RESIDUAL WARD 10 - SUB AREA 10D,1593542.727,51.10214255,-113.9162196
CEDARBRAE,393031.406,50.95577625,-114.1292579
COLLINGWOOD,708644.2308,51.08559981,-114.1021808
NORTH HAVEN UPPER,526380.5668,51.1034083,-114.0853442
SKYLINE WEST,1765921.101,51.10044599,-114.0485912
BELMONT,1163239.583,50.87033349,-114.0657294
SOMERSET,352245.6265,50.8983626,-114.0794356
BELVEDERE,2884739.5,51.03633098,-113.9081484
WINSTON HEIGHTS/MOUNTVIEW,642982.5507,51.07425183,-114.0508929
RESIDUAL WARD 1 - CANADA OLYMPIC PARK,40750,51.08228893,-114.2265954
CASTLERIDGE,351791.9126,51.10651605,-113.9594585
CURRIE BARRACKS,511436.3993,51.01671439,-114.1308213
GREENWOOD/GREENBRIAR,213813.9746,51.0904163,-114.2253715
RESIDUAL WARD 12 - SUB AREA 12J,492915.2174,50.88839305,-113.8820114
MONTGOMERY,563258.147,51.07410708,-114.1599309
POINT MCKAY,392118.8525,51.06076668,-114.1460168
RESIDUAL WARD 9 - SUB AREA 9P,4317110.508,51.02609089,-113.9005503
SANDSTONE VALLEY,431155.8329,51.13740053,-114.0969993
QUEENS PARK VILLAGE,10312916.67,51.08504377,-114.0781706
MEDICINE HILL,1227515.152,51.08007853,-114.2022052
ROYAL VISTA,4646130,51.15136153,-114.2008885
BRENTWOOD,512834.6429,51.09167089,-114.1294425
ARBOUR LAKE,563621.8945,51.13492598,-114.2037754
GREENVIEW,335195.2926,51.09601711,-114.0562538
MAHOGANY,507564.0849,50.89918029,-113.9265199
RESIDUAL WARD 6,2353593.75,51.07956281,-114.2261854
SHAWNESSY,494227.6696,50.90719347,-114.0819917
SHEPARD INDUSTRIAL,1612923.441,50.95845371,-113.9951825
RESIDUAL WARD 12 - SUB AREA 12A,1985069.014,50.9610112,-113.9031803
GREENVIEW INDUSTRIAL PARK,1612804.523,51.08864657,-114.0519141
DISCOVERY RIDGE,478983.1383,51.01407273,-114.2126743
CORNERSTONE,410261.759,51.15876961,-113.9389513
HAMPTONS,701405.8281,51.14371427,-114.1479357
TEMPLE,343515.7287,51.08861979,-113.9467352
STONEY 2,9186775.362,51.1476993,-114.0144412
